Item Creation Full Month,Library Code,Normalized Call Number,Location Code,Full Call Number,Title,Author,ISBN,Barcode
Oct 17,THEO,"0hm""821 b66 2017",STACK,HM821 .B66 2017,"Memory, grief, and agency : a political theological account of wrongs and rites.","Boopalan, Sunder John, author, author.",3319589571; 9783319589572; 331958958X; 9783319589589,300000461831
Oct 17,THEO,0hq#1240.5 g4 a337 2016,STACK,HQ1240.5 .G4 A337 2016,Gender and change : roles and challenges of ordained women ministers of the Prespbyterian Church of Ghana /,"Adasi, Grace Sintim, author.",9988235240; 9789988235246,300000461839
Oct 17,THEO,0jv#6038 r34 2017,STACK,JV6038 .R34 2017,Migrants and citizens : justice and responsibility in the ethics of immigration /,"Rajendra, Tisha M., 1977- author.",0802868827; 9780802868824,300000472250
Oct 17,THEO,"0kft""396.5 v3 t46 1914",STACK,KFT396.5 .V3 T46 1914,"Opinion of the Supreme Court of Tennessee in the Vanderbilt University case : rendered March 21, 1914.",Tennessee. Supreme Court.,,300000462442
Oct 17,THEO,"0lc""493 i36 2017",STACK,LC493 .I36 2017,Ignatian pedagogy : classic and contemporary texts on Jesuit education from St. Ignatius to today /,,0829445951; 9780829445954; 9780829445961; 082944596X,300000472283
Oct 17,THEO,0ld#4721 r32 b46 2017,STACK,LD4721 .R32 B46 2017,Keeping the soul in Christian higher education : a history of Roanoke College /,"Benne, Robert, author.",0802875173; 9780802875174,300000472236
Oct 17,THEO,0ml#3129 l87 2017,STACK,ML3129 .L87 2017,Die Lieder /,"Luther, Martin, 1483-1546.",3150110963; 9783150110966; 3899482875; 9783899482874,300000458614
Oct 17,THEO,0ml#3187.5 p37 2004,STACK,ML3187.5 .P37 2004,"At the crossroads : inside the past, present, and future of contemporary Christian music /","Peacock, Charlie.",0877881286; 9780877881285,300000461784
Oct 17,THEO,0n!72 m85 f73 2017,STACK,N72 .M85 F73 2017,Art as contemplative practice : expressive pathways to the self /,"Franklin, Michael A., 1956- author.",1438464339; 9781438464336; 9781438464343; 1438464347,300000472182
Oct 17,THEO,0n!72 r4 a77 1995,STACK,N72 .R4 A77 1995,"Art, creativity, and the sacred : an anthology in religion and art /",,082640829X; 9780826408297,300000461786
Oct 17,THEO,0n#7628 w46 h45 2016,STACK,N7628 .W46 H45 2016,An exact likeness : the portraits of John Wesley / Ricard P. Heitzenrater.,"Heitzenrater, Richard P., 1939-",9781501816604; 1501816608,300000458257
Oct 17,THEO,0n#7973 i46 2017,STACK,N7973 .I46 2017,The narrow way to heaven : identity and identities in the art of Middle Eastern Christianity /,"Immerzeel, Mat, author.",9042932287; 9789042932289,300000472239
Oct 17,THEO,0n#8050 b35 1976,STACK,N8050 .B35 1976,Behold the Christ /,"Bainton, Roland H. 1894-1984. (Roland Herbert),",0060603526; 9780060603526; 0060603534; 9780060603533,300000461773
Oct 17,THEO,0n#8050 s26 1959,STACK,N8050 .S26 1959,Das Gottesbild im Abendland /,"Schöne, Wolfgang, 1910-",,300000472308
Oct 17,THEO,0nd#2920 h39 2017,STACK,ND2920 .H39 2017,Illuminated manuscripts /,"Hayman, Richard, 1959- author.",1784422363; 9781784422363,300000472324
Oct 17,THEO,0nd#3361 r5 o34 2011,STACK,ND3361 .R5 O34 2011,Contrasting images of the Book of Revelation in late medieval and early modern art : a case study in visual exegesis /,"O'Hear, Natasha, 1980-",9780199590100; 0199590109,300000471094
Oct 17,THEO,0pa#4500 x5 t34 2017,STACK,PA4500 .X5 T34 2017,Xenophon's Ephesiaca : a paraliterary love-story from the ancient world /,"Tagliabue, Aldo Carlo Fernando, author.",9789492444127; 9492444127,300000458608
Oct 17,THEO,0pa#8514 e5 1944,STACK,PA8514 .E5 1944,The praise of folly /,"Erasmus, Desiderius, -1536.",,300000461822
Oct 17,THEO,0pa#8518 a15 1986,STACK,PA8518 .A15 1986,Erasmi Roterodami Compendium vitae : Das Leben des Erasmus : von ihm selbst erzählt /,"Erasmus, Desiderius, -1536.",,300000461824
Oct 17,THEO,0pa#8518 h3315 1989,STACK,PA8518 .H3315 1989,Erasmus von Rotterdam : eine Biographie /,"Halkin, Léon-E. 1906-1998. (Léon-Ernest),",354534083X; 9783545340831,300000461778
Oct 17,THEO,0pa#8518 j36 1993,STACK,PA8518 .J36 1993,"Erasmus, man of letters : the construction of charisma in print /","Jardine, Lisa.",9780691057002; 0691057001,300000471032
Oct 17,THEO,0pa#8518 m354 1992,STACK,PA8518 .M354 1992,"Man on his own : interpretations of Erasmus, c 1750-1920 /","Mansfield, Bruce.",9780802059505; 0802059503,300000472309
Oct 17,THEO,"0pn""185 m8",STACK,PN185 .M8,Three medieval rhetorical arts. /,"Murphy, James Jerome.",9780520018204; 0520018206,300000471023
Oct 17,THEO,0pn#6084 r3 f68 2005,STACK,PN6084 .R3 F68 2005,The founders on religion : a book of quotations /,,9780691120331; 0691120331,300000461818
Oct 17,THEO,"0pr""605 m63 d66 2017",STACK,PR605.M63 D66 2017,Poetry and theology in the modernist period /,"Domestico, Anthony, 1984- author.",1421423316; 9781421423319; 9781421423326; 1421423324,300000472281
Oct 17,THEO,0ps#3513 i25 p7 2006,STACK,PS3513 .I25 P7 2006,The prophet /,"Gibran, Kahlil, 1883-1931.",0394404289; 9780394404288,300000461760
Oct 17,THEO,0ps#3525 e7174 z785 2016,STACK,PS3525 .E7174 Z785 2016,Merton & the protestant tradition /,,1891785745; 9781891785740,300000472191
Oct 17,THEO,"0rc""154.1 b76 1974",STACK,RC154.1 .B76 1974,The disease of the soul : leprosy in medieval literature.,"Brody, Saul Nathaniel.",0801408040; 9780801408045,300000472313
Oct 17,THEO,0z#7757 z4 s3 1962,STACK,Z7757 .Z4 S3 1962,Recent theological literature in Switzerland /,"Schweizer, Eduard, 1913-2006, author.",,300000461757
,,,,,,,,
