Item Creation Full Month,Library Code,Normalized Call Number,Location Code,Full Call Number,Title,Author,ISBN,Barcode
Oct 17,THEO,"0bv""600.3 b75 2017",STACK,BV600.3 .B75 2017,How to become a multicultural church /,"Brouwer, Douglas J., author.",0802873936; 9780802873934,300000472260
Oct 17,THEO,"0bv""600.3 p38 2017",STACK,BV600.3 .P38 2017,Church in ordinary time : a wisdom ecclesiology /,"Pauw, Amy Plantinga, author.",0802871860; 9780802871862,300000472248
Oct 17,THEO,"0bv""601.2 h67 1987",STACK,BV601.2 .H67 1987,Congregation : stories and structures /,"Hopewell, James F.",9780800619565; 0800619560,300000461787
Oct 17,THEO,"0bv""601.3 r47 2017",STACK,BV601.3 .R47 2017,Communion ecclesiology in a racially polarised South Africa /,"Resane, K. Thomas, author.",1920382968; 9781920382964; 9781920382971; 1920382976,300000461838
Oct 17,THEO,"0bv""601.8 h55 2017",STACK,BV601.8 .H55 2017,"Salt, light, and a city : ecclesiology for the Global Missional Community:","Hill, Graham, Reverend, author.",1532603223; 9781532603228; 153260324X; 9781532603242; 9781532603235; 1532603231,300000472220
Oct 17,THEO,"0bv""652.95 w67 2014",STACK,BV652.95 .W67 2014,"Word and image : guidelines on communication, media and the Church in support of the theme for 2014 ""Evangelisation - Communication - Formation"".",,1920339655; 9781920339654,300000461836
Oct 17,THEO,"0bv""676 m3 1984",STACK,BV676 .M3 1984,Make plain the vision : a book of sermons in celebration of the ministry of women in the United Methodist Church /,,,300000461804
Oct 17,THEO,"0bv""676 n67 1992",STACK,BV676 .N67 1992,The woman in the pulpit /,"Norén, Carol Marie.",9780687458936; 0687458935,300000471020
Oct 17,THEO,"0bv""772 b49 2017",STACK,BV772 .B49 2017,Beyond the offering plate : a holistic approach to stewardship /,,066426235X; 9780664262358; 9781611648119; 1611648114,300000472189
Oct 17,THEO,"0bv""873 e8 n38 1974",STACK,BV873 .E8 N38 1974,Exorcism through the ages. /,"Nauman, St. Elmo.",9780802221490; 0802221491; 0517169754; 9780517169759,300000472302
Oct 17,THEO,0bv#2100 t44 2017,STACK,BV2100 .T44 2017,Encountering the history of missions : from the early church to today /,"Terry, John Mark, 1949- author.",0801026962; 9780801026966,300000472193
Oct 17,THEO,0bv#2370 b646 k66 2015,STACK,BV2370 .B646 K66 2015,"Entrusted with the word : a history of the Bible Society of Ghana, 1965-2015 /","Kpobi, David N. A. (David Nii Anum)",9988219717; 9789988219710,300000461847
Oct 17,THEO,0bv#2410 h65 2017,STACK,BV2410 .H65 2017,Protestants abroad : how missionaries tried to change the world but changed America /,"Hollinger, David A., author.",0691158436; 9780691158433,300000461790
Oct 17,THEO,0bv#3280 n5 j660 2017,STACK,BV3280 .N5 J660 2017,"Missionary Christianity and local religion : American evangelicalism in North India, 1836-1870 /","Jones, Arun W., author.",160258432X; 9781602584327,300000472205
Oct 17,THEO,0bv#3625 g62 o656 2013,STACK,BV3625 .G62 O656 2013,Christianising the heathen : Theophilus Opoku's mission and ministry in nineteenth-century Gold Coast /,"Iheanacho, Maureen O.",9988183755; 9789988183752,300000461841
Oct 17,THEO,0bv#3625 m65 a58 2016,STACK,BV3625 .M65 A58 2016,A árvore cresce e dá frutos : Missionários da Consolata Moçambique /,"Antunes, Diamantino Guapo, author.",9728265530; 9789728265533,300000471021
Oct 17,THEO,0bv#3785 a46 a4 2012,STACK,BV3785 .A46 A4 2012,The modern day Abraham : the story of my life /,"Akoria, Anthony Oghenedoro, author.",9785097404; 9789785097405,300000471081
Oct 17,THEO,0bv#3785 h348 j637 2016,STACK,BV3785 .H348 J637 2016,"Lessons from the ministry and life of prophet William Wade Harris, 1st African independent prophet /","Johnson, Richard Kwame.",9988232500; 9789988232504,300000461840
Oct 17,THEO,0bv#4012 b585 1959,STACK,BV4012 .B585 1959,Psychology für Pfarrer und Gemeinde.,"Bonnell, John Sutherland, 1893-1992.",,300000461741
Oct 17,THEO,0bv#4211.3 b764 2016,STACK,BV4211.3 .B764 2016,Ways of the word : learning to preach for your time and place /,"Brown, Sally A. author (Sally Ann),",9780800699222; 080069922X,300000471013
Oct 17,THEO,0bv#4211.3 c73 2013,STACK,BV4211.3 .C73 2013,A taste of milk & honey /,"Craddock, Fred B., author.",0989730212; 9780989730211,300000471153
Oct 17,THEO,0bv#4211.3 g76 2017,STACK,BV4211.3 .G76 2017,Women's voices and the practice of preaching /,"Gross, Nancy Lammers, 1956- author.",0802873227; 9780802873224,300000472259
Oct 17,THEO,0bv#4211.3 s758 2017,STACK,BV4211.3 .S758 2017,Between two worlds : the challenge of preaching today /,"Stott, John R. W., author.",9780802875525; 0802875521,300000472262
Oct 17,THEO,0bv#4235 e75 r45 2012,STACK,BV4235 .E75 R45 2012,The six deadly sins of preaching : becoming responsible for the faith we proclaim /,"Reid, Robert Stephen.",9781426735394; 1426735391,300000471014
Oct 17,THEO,0bv#4315 w355 2017,STACK,BV4315 .W355 2017,Feasting on the word : children's sermons for Year B /,"Wehrheim, Carol A., author.",0664261086; 9780664261085; 9781611648188; 1611648181,300000472187
Oct 17,THEO,0bv#4415 w66 2015,STACK,BV4415 .W66 2015,Women in Church and society : voices of women from the IMBISA region /,,,300000471008
Oct 17,THEO,0bv#4437.5 s26 2017,STACK,BV4437.5 .S26 2017,A brief guide to ministry with LGBTQIA youth /,"Sanders, Cody J., author.",0664262503; 9780664262501; 9781611648164; 1611648165,300000472186
Oct 17,THEO,0bv#4461 s55 2017,STACK,BV4461 .S55 2017,Pastoral care and intellectual disability : a person-centered approach /,"Shurley, Anna Katherine Ellerman, author.",1481301691; 9781481301695; 9781481307369; 1481307363,300000472204
Oct 17,THEO,0bv#4501.2 b36 1957,STACK,BV4501.2 .B36 1957,Das erträumte und das wirkliche Glück : eine Auslegung der Seligpreisungen /,"Bannach, Horst, author.",,300000461776
Oct 17,THEO,0bv#4503 a9 1954,STACK,BV4503 .A9 1954,Die vollkommene Frömmigkeit des Christen : nach dem Enchiridion militis Christiani des Erasmus von Rotterdam /,"Auer, Alfons.",,300000471001
Oct 17,THEO,0bv#4509.5 w397 2017,STACK,BV4509.5 .W397 2017,Incarnational ministry : being with the church /,"Wells, Samuel, 1965- author.",0802874851; 9780802874856,300000472244
Oct 17,THEO,0bv#4527 a34 2016,STACK,BV4527 .A34 2016,Can I cry out ? : questions & answers from Women in Ministry Conferences /,"Adeboye, Folu, author.",9789525478; 9789789525478,300000471039
Oct 17,THEO,0bv#4647 h67 j57 2017,STACK,BV4647 .H67 J57 2017,Saved by faith and hospitality /,"Jipp, Joshua W., author.",080287505X; 9780802875051,300000472243
Oct 17,THEO,0bv#4647 p3 d38 2017,STACK,BV4647 .P3 D38 2017,Forbearance : a theological ethic for a disagreeable church /,"Davis, James Calvin, author.",0802875106; 9780802875105,300000472242
Oct 17,THEO,0bv#4740 c3155 2017,STACK,BV4740 .C3155 2017,Calling all years good : Christian vocation throughout life's seasons /,,080287424X; 9780802874245,300000472261
Oct 17,THEO,0bv#4832.2 w66 1974,STACK,BV4832.2 .W66 1974,A workable faith /,"Wood, June Smallwood.",0802221521; 9780802221520,300000471095
Oct 17,THEO,0bv#5082.3 c585 2017,STACK,BV5082.3 .C585 2017,Commitments to medieval mysticism within contemporary contexts /,,9042934476; 9789042934474,300000472228
Oct 17,THEO,0bx 9.5 r4 r44 2017,STACK,BX9.5 .R4 R44 2017,"Reforming theology, migrating church, transforming society a compendium for ecumenical education /",,3946426018; 9783946426011,300000458659
Oct 17,THEO,"0bx""323 o87",STACK,BX323 .O87,Theology of the icon /,"Ouspensky, Léonide.",9780913836422; 0913836427,300000471085
Oct 17,THEO,"0bx""839 g4 a27 2014",STACK,BX839 .G4 A27 2014,Acts of the 2014 National Pastoral Congress /,"National Catholic Pastoral Congress Sunyani, Ghana) 2014 : (2nd :",,300000461835
Oct 17,THEO,"0bx""920 r65 s36 1984",STACK,BX920 .R65 S36 1984,Das Collegium Germanicum in Rom und die Germaniker : zur Funktion eines römischen Ausländerseminars (1552-1914) /,"Schmidt, Peter, author.",9783484820562; 348482056X,300000471062
Oct 17,THEO,0bx#1407 m48 e57 1998,STACK,BX1407 .M48 E57 1998,Mestizo worship : a pastoral approach to liturgical ministry /,"Elizondo, Virgilio P.",9780814624906; 0814624901,300000086346
Oct 17,THEO,0bx#1407 m48 h67 2002,STACK,BX1407 .M48 H67 2002,Horizons of the sacred : Mexican traditions in U.S. Catholicism /,,9780801440113; 0801440114; 9780801488221; 0801488222,300000172746
Oct 17,THEO,0bx#1795 h82 c38337 2017,STACK,BX1795 .H82 C38337 2017,"Reflections on Pope Francis's encyclical, Laudato si' /",,9781443879095; 1443879096,300000472321
Oct 17,THEO,0bx#1912 l85 2017,STACK,BX1912 .L85 2017,Assessment of the effectiveness of the ministry of priests in eastern Africa : research report /,"Lukwata, John M.",9966015531; 9789966015532,300000461855
Oct 17,THEO,0bx#2170 c55 p49 1995,STACK,BX2170 .C55 P49 1995 V.1,The cultural world of Jesus : Sunday by Sunday /,"Pilch, John J.",0814622860; 9780814622865; 0814622879; 9780814622872; 0814622887; 9780814622889,300000471174
Oct 17,THEO,0bx#2330 b68 2017,STACK,BX2330 .B68 2017,"Pious postmortems : anatomy, sanctity, and the Catholic Church in early modern Europe /","Bouley, Bradford, author.",0812249577; 9780812249576,300000472274
Oct 17,THEO,0bx#2465 d55 2017,STACK,BX2465 .D55 2017,Monasteries and the care of souls in late antique Christianity : cognition and discipline /,"Dilley, Paul, author.",1107184010; 9781107184015,300000472267
Oct 17,THEO,0bx#3003 n68 2017,STACK,BX3003 .N68 2017,"A not so unexciting life : essays on Benedictine history and spirituality in honor of Michael Casey, OCSO /",,0879072695; 9780879072698; 9780879070526; 0879070528,300000472221
Oct 17,THEO,0bx#3702 a1 c36 2017,STACK,BX3702 .A1 C36 2017,The Cambridge encyclopedia of the Jesuits /,,0521769051; 9780521769051,300000472289
Oct 17,THEO,0bx#4654 b82 1990,OSIZE,BX4654 .B82 1990,Lives of the saints /,"Butler, Alban, 1711-1773.",0831756349; 9780831756345,300000461812
Oct 17,THEO,0bx#4705 m1143 r36 2014,STACK,BX4705 .M1143 R36 2014,Monsenhor Joaquim Mabuiangue : uma vida a várias vozes /,"Ramos, Maria Carlos.",9728265514; 9789728265519,300000461853
Oct 17,THEO,0bx#4705 m542 a4 2017,STACK,BX4705 .M542 A4 2017,From the monastery to the world : the letters of Thomas Merton and Ernesto Cardenal /,,1619029014; 9781619029019,300000472284
Oct 17,THEO,0bx#4817 r684 2015,STACK,BX4817 .R684 2015,Auf Sand gebaut : warum die evangelischen Kirchen zerfallen /,"Rothen, Paul Bernhard.",3643801882; 9783643801883,300000471124
Oct 17,THEO,0bx#4818.3 a68 2018,STACK,BX4818.3 .A68 2018,Aquinas among the Protestants /,,1119265894; 9781119265894; 1119265940; 9781119265948; 9781119265979; 1119265975,300000472328
Oct 17,THEO,0bx#4827 b3 g355 2017,STACK,BX4827 .B3 G355 2017,Karl Barth : an introductory biography for evangelicals /,"Galli, Mark, author.",0802869394; 9780802869395,300000472255
Oct 17,THEO,0bx#4827 b57 a43 1972,STACK,BX4827 .B57 A43 1972,Letters and papers from prison. /,"Bonhoeffer, Dietrich, 1906-1945.",9780020839200; 0020839200,300000461797
Oct 17,THEO,0bx#4827 b57 b58,STACK,BX4827 .B57 B58,A Bonhoeffer legacy : essays in understanding /,,9780802835468; 0802835465,300000471075
Oct 17,THEO,0bx#4827 b57 b86 1985,STACK,BX4827 .B57 B86 1985,Shaping the future : the ethics of Dietrich Bonhoeffer /,"Burtness, James H.",0800618696; 9780800618698,300000471073
Oct 17,THEO,0bx#4827 b57 k44 1984,STACK,BX4827 .B57 K44 1984,Liberating faith : Bonhoeffer's message for today /,"Kelly, Geffrey B.",0806620927; 9780806620923,300000471076
Oct 17,THEO,0bx#4827 b78 j64 1987,STACK,BX4827 .B78 J64 1987,Rudolf Bultmann : interpreting faith for the modern era /,"Johnson, Roger A., 1930-",9780005990612; 0005990610; 9780005999776; 0005999774,300000471078
Oct 17,THEO,0bx#4827 s3 p38 2017,STACK,BX4827 .S3 P38 2017,The eternal covenant : Schleiermacher on God and natural science /,"Pedersen, Daniel James, 1986- author.",3110540800; 9783110540802,300000472227
Oct 17,THEO,0bx#5149 c6 s7 2017,STACK,BX5149 .C6 S7 2017,Confess your sins : the way of reconciliation /,"Stott, John R. W., author.",0802875092; 9780802875099,300000472253
Oct 17,THEO,0bx#6276 c767 2017,STACK,BX6276 .C767 2017,Useful learning : neglected means of grace in the reception of the Evangelical Revival among English Particular Baptists /,"Cross, Anthony R., author.",9781498202572; 1498202578; 1498202551; 9781498202558,300000472219
Oct 17,THEO,0bx#8007 d53 2017,STACK,BX8007 .D53 2017,Dictionary of Luther and the Lutheran traditions /,,0801049695; 9780801049699,300000472199
Oct 17,THEO,0bx#8067 a3 l762 1978,STACK,BX8067 .A3 L762 1978,Lutheran book of worship : liturgy /,,,300000471155
Oct 17,THEO,0bx#8067.3 s96 2015,STACK,BX8067.3 .S96 2015 Year B,Sundays and seasons.,Evangelical Lutheran Church in America.,1451425619; 9781451425611; 1451425694; 9781451425697; 1451425775; 9781451425772,300000461816
Oct 17,THEO,0bx#8322 g4 f65 2008,STACK,BX8322 .G4 F65 2008,Wesleyan heritage in Ghana : as portrayed by the addresses of Ghanaian heads of the Methodist Church Ghana to representatives sessions of conference 1962-2008 /,"Foli, Richard, author.",998884431X; 9789988844318,300000461851
Oct 17,THEO,0bx#8322 g5 f658 2008,STACK,BX8322 .G5 F658 2008,Ghana Methodism today /,"Foli, Richard, author.",9988844301; 9789988844301,300000461854
Oct 17,THEO,0bx#8333 w4 j6 1983,STACK,BX8333 .W4 J6 1983,John Wesley's fifty-three sermons /,"Wesley, John, 1703-1791.",9780687204939; 0687204933,300000471006
Oct 17,THEO,0bx#8349 h4 h65 1986,STACK,BX8349 .H4 H65 1986,Health and medicine in the Methodist tradition : journey toward wholeness /,"Holifield, E. Brooks.",0824507924; 9780824507923,300000471012
Oct 17,THEO,0bx#8382.2 a55,REF,BX8382.2 .A55 2017,Journal and yearbook : minutes of the ... annual conference of the Alaska United Methodist Conference of the United Methodist Church.,United Methodist Church (U.S.). Alaska United Methodist Conference.,,300000462469
Oct 17,THEO,0bx#8382.2 w45,REF,BX8382.2 .W45 2017,Official journal and year book of the West Virginia Annual Conference of the United Methodist Church.,United Methodist Church (U.S.). West Virginia Conference.,,300000462538
Oct 17,THEO,0bx#8388 f73 2006,STACK,BX8388 .F73 2006,"Polity, practice, and the mission of the United Methodist Church /","Frank, Thomas Edward.",9780687335312; 0687335310,300000461798
Oct 17,THEO,0bx#8495 a43 a3 2007,STACK,BX8495 .A43 A3 2007,"God trusted a woman : leadership lessons from the life of Dr. Frances M. Alguire, first laywoman to lead the World Methodist Council /","Alguire, Frances M.",1419678175; 9781419678172,300000471019
Oct 17,THEO,0bx#8495 w5 g73 1987,STACK,BX8495 .W5 G73 1987,John Wesley /,"Green, Vivian Hubert Howard.",9780819164612; 0819164615,300000461761
Oct 17,THEO,0bx#8495 w5 m284 1994,STACK,BX8495 .W5 M284 1994,Responsible grace : John Wesley's practical theology /,"Maddox, Randy L.",9780687003341; 0687003342,300000461774
Oct 17,THEO,0bx#8495 w5 m28713 1992,STACK,BX8495 .W5 M28713 1992,John Wesley's social ethics : praxis and principles /,"Marquardt, Manfred, 1940-",9780687204946; 0687204941,300000461771
Oct 17,THEO,0bx#8495 w5 w9 2015,STACK,BX8495 .W5 W9 2015,A theology of love : the dynamic of Wesleyanism /,"Wynkoop, Mildred Bangs, author.",0834134934; 9780834134935,300000461834
Oct 17,THEO,0bx#8762 a45 p48 2011,STACK,BX8762 .A45 P48 2011,"Not by might, nor by power : a pentecostal theology of social concdern in latin america.","Petersen, Douglas.",1610978013; 9781610978019,300000461848
Oct 17,THEO,0bx#8776.5 z5 a34 2017,STACK,BX8776.5 .Z5 A34 2017,Stories of pastor E. A. Adeboye : the power of testimony /,"Daniels, Bisi, author.",1511866071; 9781511866071,300000471040
Oct 17,THEO,0bx#8935 p74 2017,STACK,BX8935 .P74 2017,The Presbyterian experience in the United States : a sourcebook /,,0664262147; 9780664262143; 9781611648133; 1611648130,300000472184
Oct 17,THEO,0bx#8969.5 b66 2017,STACK,BX8969.5 .B66 2017,Book of confessions : part 1 of the constitution of the Presbyterian Churc (U.S.A.) /,Presbyterian Church (U.S.A.),0664262902; 9780664262907; 9781611648171; 1611648173,300000472296
Oct 17,THEO,0bx#9178 s7 d4 2017,STACK,BX9178 .S7 D4 2017,Deeper waters : sermons for a new vision /,"Stroupe, Nibs, author.",1532631383; 9781532631382; 1532631405; 9781532631405; 1532631391; 9781532631399,300000471028
Oct 17,THEO,0bx#9225 o87 a52 2017,STACK,BX9225 .O87 A52 2017,The story of Samuel Otu : a Christian martyr of the 19th century /,"Amankonah Kwaa, Edmund.",9988248318; 9789988248314,300000461846
